taxid	lineage	name	rank	grinder-reads-fixed.fa
2375	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;	Clostridia	class	825
2544	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Thermoanaerobacterales;order;	Thermoanaerobacterales	order	9
2555	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Thermoanaerobacterales;order;Thermodesulfobiaceae;family;	Thermodesulfobiaceae	family	2
2556	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Thermoanaerobacterales;order;Thermodesulfobiaceae;family;Coprothermobacter;genus;	Coprothermobacter	genus	2
2545	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Thermoanaerobacterales;order;Thermoanaerobacteraceae;family;	Thermoanaerobacteraceae	family	7
2547	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Thermoanaerobacterales;order;Thermoanaerobacteraceae;family;Caldanaerobacter;genus;	Caldanaerobacter	genus	3
2546	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Thermoanaerobacterales;order;Thermoanaerobacteraceae;family;Thermoanaerobacter;genus;	Thermoanaerobacter	genus	2
2551	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Thermoanaerobacterales;order;Thermoanaerobacteraceae;family;Carboxydothermus;genus;	Carboxydothermus	genus	1
-2546	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Thermoanaerobacterales;order;Thermoanaerobacteraceae;family;unclassified_Thermoanaerobacteraceae;;	unclassified_Thermoanaerobacteraceae		1
2376	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;	Clostridiales	order	787
2479	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Peptostreptococcaceae;family;	Peptostreptococcaceae	family	33
2483	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Peptostreptococcaceae;family;Filifactor;genus;	Filifactor	genus	2
2679	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Peptostreptococcaceae;family;Clostridium XI;genus;	Clostridium XI	genus	19
